id	local_path	family	producer	producer_detail	lineage	holdout	origin	url	license	rights_basis	source_project	source_ref
census-na-est2024-pop	xlsx/census/census-na-est2024-pop.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 16.0300)	www2.census.gov:xlsx:na-est#-pop	no	published document	https://www2.census.gov/programs-surveys/popest/tables/2020-2024/national/totals/NA-EST2024-POP.xlsx	US-Gov-PublicDomain	US Census Bureau published data table; US government works are not subject to domestic copyright	www2.census.gov	retrieved-2026-09-16
census-nst-est2024-pop	xlsx/census/census-nst-est2024-pop.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 16.0300)	www2.census.gov:xlsx:nst-est#-pop	yes	published document	https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx	US-Gov-PublicDomain	US Census Bureau published data table; US government works are not subject to domestic copyright	www2.census.gov	retrieved-2026-09-16
census-sub-ip-est2024-pop	xlsx/census/census-sub-ip-est2024-pop.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 16.0300)	www2.census.gov:xlsx:sub-ip-est#-pop	no	published document	https://www2.census.gov/programs-surveys/popest/tables/2020-2024/cities/totals/SUB-IP-EST2024-POP.xlsx	US-Gov-PublicDomain	US Census Bureau published data table; US government works are not subject to domestic copyright	www2.census.gov	retrieved-2026-09-16
govinfo-bills-118hr815enr	pdf/govinfo/govinfo-bills-118hr815enr.pdf	pdf	Adobe Acrobat/Distiller	Acrobat Distiller 24.0 (Windows); modified using iText® Core 7.2.3 (production v	www.govinfo.gov:pdf:bills-#hr#enr	no	published document	https://www.govinfo.gov/content/pkg/BILLS-118hr815enr/pdf/BILLS-118hr815enr.pdf	US-Gov-PublicDomain	US Government Publishing Office publication; US government works are not subject to domestic copyright	www.govinfo.gov	retrieved-2026-09-16
govinfo-cfr-2023-title21-vol1-sec1-1	pdf/govinfo/govinfo-cfr-2023-title21-vol1-sec1-1.pdf	pdf	iText	iText® Core 7.2.3 (production version) ©2000-2022 iText Group NV, Government Pub	www.govinfo.gov:pdf:cfr-#-title#-vol#-sec#	yes	published document	https://www.govinfo.gov/content/pkg/CFR-2023-title21-vol1/pdf/CFR-2023-title21-vol1-sec1-1.pdf	US-Gov-PublicDomain	US Government Publishing Office publication; US government works are not subject to domestic copyright	www.govinfo.gov	retrieved-2026-09-16
irs-f1099msc	pdf/irs/irs-f1099msc.pdf	pdf	Adobe LiveCycle Designer	Designer 6.5	www.irs.gov:pdf:f#msc	yes	published document	https://www.irs.gov/pub/irs-pdf/f1099msc.pdf	US-Gov-PublicDomain	US Internal Revenue Service form published by a US federal agency; US government works are not subject to domestic copyright	www.irs.gov	retrieved-2026-09-16
irs-f8949	pdf/irs/irs-f8949.pdf	pdf	Adobe LiveCycle Designer	Designer 6.5	www.irs.gov:pdf:f	no	published document	https://www.irs.gov/pub/irs-pdf/f8949.pdf	US-Gov-PublicDomain	US Internal Revenue Service form published by a US federal agency; US government works are not subject to domestic copyright	www.irs.gov	retrieved-2026-09-16
irs-fw9	pdf/irs/irs-fw9.pdf	pdf	Adobe LiveCycle Designer	Designer 6.5	www.irs.gov:pdf:fw	no	published document	https://www.irs.gov/pub/irs-pdf/fw9.pdf	US-Gov-PublicDomain	US Internal Revenue Service form published by a US federal agency; US government works are not subject to domestic copyright	www.irs.gov	retrieved-2026-09-16
libreoffice-090716-studentische-arbeit-vws	docx/libreoffice/libreoffice-090716-studentische-arbeit-vws.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 12.0000)	LibreOffice/core:docx:#_studentische_arbeit_vws	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/090716_Studentische_Arbeit_VWS.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-1-page	docx/libreoffice/libreoffice-1-page.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 12.0000)	LibreOffice/core:docx:#_page	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/1_page.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
